time,Elbe
1932-09-30,311.0
1932-10-31,338.0
1932-11-30,498.0
1932-12-31,432.0
1933-01-31,370.0
1933-02-28,711.0
1933-03-31,686.0
1933-04-30,524.0
1933-05-31,366.0
1933-06-30,328.0
1933-07-31,418.0
1933-08-31,296.0
1933-09-30,246.0
1933-10-31,236.0
1933-11-30,308.532989502
1933-12-31,256.580993652
1934-01-31,365.194000244
1934-02-28,383.178985596
1934-03-31,671.742004395
1934-04-30,570.932983398
1934-05-31,307.355010986
1934-06-30,174.867004395
1934-07-31,162.419006348
1934-08-31,159.160995483
1934-09-30,177.899993896
1934-10-31,227.128997803
1934-11-30,335.0
1934-12-31,401.0
1935-01-31,399.0
1935-02-28,750.0
1935-03-31,906.0
1935-04-30,1097.0
1935-05-31,858.0
1935-06-30,495.0
1935-07-31,245.0
1935-08-31,205.0
1935-09-30,209.0
1935-10-31,243.0
1935-11-30,479.0
1935-12-31,439.0
1936-01-31,570.0
1936-02-29,625.0
1936-03-31,731.0
1936-04-30,535.0
1936-05-31,666.0
1936-06-30,676.0
1936-07-31,432.0
1936-08-31,382.0
1936-09-30,304.0
1936-10-31,341.0
1936-11-30,547.0
1936-12-31,516.0
1937-01-31,507.0
1937-02-28,814.0
1937-03-31,1572.0
1937-04-30,1217.0
1937-05-31,958.0
1937-06-30,431.0
1937-07-31,527.0
1937-08-31,385.0
1937-09-30,464.0
1937-10-31,492.0
1937-11-30,395.0
1937-12-31,458.0
1938-01-31,990.0
1938-02-28,1288.0
1938-03-31,1024.0
1938-04-30,736.0
1938-05-31,530.0
1938-06-30,570.0
1938-07-31,342.0
1938-08-31,293.0
1938-09-30,1048.0
1938-10-31,471.0
1938-11-30,514.0
1938-12-31,453.0
1939-01-31,833.0
1939-02-28,836.0
1939-03-31,875.0
1939-04-30,1277.0
1939-05-31,832.0
1939-06-30,786.0
1939-07-31,684.0
1939-08-31,581.0
1939-09-30,555.0
1939-10-31,784.0
1939-11-30,1221.0
1939-12-31,2017.0
1940-01-31,677.0
1940-02-29,451.0
1940-03-31,1929.0
1940-04-30,2058.0
1940-05-31,885.0
1940-06-30,701.0
1940-07-31,660.0
1940-08-31,714.0
1940-09-30,910.0
1940-10-31,821.0
1940-11-30,1324.0
1940-12-31,732.0
1941-01-31,869.0
1941-02-28,1618.0
1941-03-31,2340.0
1941-04-30,2279.0
1941-05-31,1608.0
1941-06-30,1557.0
1941-07-31,658.0
1941-08-31,713.0
1941-09-30,892.0
1941-10-31,1078.0
1941-11-30,1498.0
1941-12-31,1240.0
1942-01-31,1045.0
1942-02-28,497.0
1942-03-31,993.0
1942-04-30,1763.0
1942-05-31,877.0
1942-06-30,575.0
1942-07-31,437.0
1942-08-31,451.0
1942-09-30,328.0
1942-10-31,474.0
1942-11-30,603.0
1942-12-31,663.0
1943-01-31,479.0
1943-02-28,696.0
1943-03-31,561.0
1943-04-30,639.0
1943-05-31,372.0
1943-06-30,346.0
1943-07-31,284.0
1943-08-31,222.0
1943-09-30,230.0
1943-10-31,247.0
1943-11-30,233.0
1943-12-31,282.0
1944-01-31,553.0
1944-02-29,868.0
1944-03-31,756.0
1944-04-30,1761.0
1944-05-31,610.0
1944-06-30,608.0
1944-07-31,498.0
1944-08-31,519.0
1944-09-30,271.0
1944-10-31,319.0
1944-11-30,565.0
1944-12-31,890.0
1945-01-31,392.0
1945-02-28,1048.0
1945-03-31,1330.0
1945-04-30,778.0
1945-05-31,637.0
1945-06-30,502.0
1945-07-31,460.0
1945-08-31,532.0
1945-09-30,396.0
1945-10-31,454.0
1945-11-30,474.0
1945-12-31,579.0
1946-01-31,658.0
1946-02-28,1719.0
1946-03-31,1592.0
1946-04-30,952.0
1946-05-31,480.0
1946-06-30,532.0
1946-07-31,499.0
1946-08-31,373.0
1946-09-30,401.0
1946-10-31,451.0
1946-11-30,474.0
1946-12-31,420.0
1947-01-31,286.0
1947-02-28,247.0
1947-03-31,1625.0
1947-04-30,1590.0
1947-05-31,523.0
1947-06-30,312.0
1947-07-31,261.0
1947-08-31,182.0
1947-09-30,144.0
1947-10-31,153.0
1947-11-30,250.0
1947-12-31,449.0
1948-01-31,1809.0
1948-02-29,1927.0
1948-03-31,1332.0
1948-04-30,786.0
1948-05-31,420.0
1948-06-30,292.0
1948-07-31,405.0
1948-08-31,500.0
1948-09-30,449.0
1948-10-31,304.0
1948-11-30,332.0
1948-12-31,301.0
1949-01-31,306.0
1949-02-28,358.0
1949-03-31,591.0
1949-04-30,946.0
1949-05-31,613.0
1949-06-30,936.0
1949-07-31,520.0
1949-08-31,313.0
1949-09-30,273.0
1949-10-31,203.0
1949-11-30,221.0
1949-12-31,406.0
1950-01-31,582.0
1950-02-28,723.0
1950-03-31,1001.0
1950-04-30,646.0
1950-05-31,787.0
1950-06-30,382.0
1950-07-31,291.0
1950-08-31,229.0
1950-09-30,218.0
1950-10-31,271.0
1950-11-30,457.0
1950-12-31,503.0
1951-01-31,575.0
1951-02-28,689.0
1951-03-31,793.0
1951-04-30,742.0
1951-05-31,708.0
1951-06-30,445.0
1951-07-31,369.0
